"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2018S004700    ",10,"Sant Martí",71,"Provençals del Poblenou",322608,"Selva de Mar","0138 0138","Dimarts","2018",6,"Juny","19","15","Gir indegut o sense precaució","Tarda","433476.69 ","4585173.83","2.20289399995987","41.4135188665646"
"2018S009186    ",10,"Sant Martí",68,"el Poblenou",110009,"Ramon Turró","0159 0159","Dissabte","2018",12,"Desembre","1","14","Desobeir semàfor","Tarda","433268.89 ","4583467.86","2.20059608084126","41.3981364072056"
"2018S000825    ",10,"Sant Martí",71,"Provençals del Poblenou",253902,"Perú","0082 0082","Dimecres","2018",1,"Gener","31","08","Desobeir semàfor","Matí","432901.43 ","4584611.26","2.19607384563038","41.4084040918182"
"2018S004970    ",10,"Sant Martí",71,"Provençals del Poblenou",115603,"Espronceda","0194 0194","Dijous","2018",6,"Juny","28","08","Manca d'atenció a la conducció","Matí","432986.83 ","4584903.52","2.19706312230767","41.4110435263993"
"2018S005350    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020750000","Dimecres","2018",7,"Juliol","11","01","Manca d'atenció a la conducció","Nit","433372.35 ","4585277.86","2.20163417363620","41.4144471843809"
"2018S006662    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020750000","Dilluns","2018",9,"Setembre","3","14","Manca d'atenció a la conducció","Tarda","433387.34 ","4585365.24","2.20180389110887","41.4152354354996"
"2018S009286    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020710000","Dimarts","2018",12,"Desembre","4","18","Manca d'atenció a la conducció","Tarda","433081.87 ","4584996.69","2.19818985453742","41.4118906082467"
"2018S006193    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020710000","Dissabte","2018",8,"Agost","11","11","Altres","Matí","433105.47 ","4584927.04","2.19847991310061","41.4112652566849"
"2018S005482    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020710000","Diumenge","2018",7,"Juliol","15","22","Desobeir semàfor","Nit","433081.87 ","4584996.69","2.19818985453742","41.4118906082467"
"2018S002872    ",10,"Sant Martí",71,"Provençals del Poblenou",253902,"Perú","0210 0210","Diumenge","2018",4,"Abril","15","13","Altres","Matí","433476.69 ","4585173.83","2.20289399995987","41.4135188665646"
"2018S006805    ",10,"Sant Martí",71,"Provençals del Poblenou",169409,"Corts Catalanes","0890 0890","Diumenge","2018",9,"Setembre","9","23","Manca d'atenció a la conducció","Nit","432294.33 ","4584205.8 ","2.18885628790920","41.4047012788959"
"2018S005437    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020760000","Divendres","2018",7,"Juliol","13","19","No respectar distàncies","Tarda","433366.47 ","4585249.15","2.20156698748675","41.4141881134294"
"2018S007873    ",10,"Sant Martí",71,"Provençals del Poblenou",253902,"Perú","0141 0149","Dimecres","2018",10,"Octubre","17","06","Canvi de carril sense precaució","Matí","433092.71 ","4584796.53","2.19834169808027","41.4100887265074"
"2018S005597    ",10,"Sant Martí",71,"Provençals del Poblenou",200600,"Marroc","0083B0083B","Dijous","2018",7,"Juliol","19","17","No cedir la dreta","Tarda","433375.14 ","4584699.57","2.20173129198341","41.4092389163479"
"2018S006403    ",10,"Sant Martí",71,"Provençals del Poblenou",143609,"Josep Pla","0169 0173","Dimecres","2018",8,"Agost","22","11","Manca d'atenció a la conducció","Matí","433772.59 ","4585417.95","2.20640750011001","41.4157420513286"
